date,information_coefficient,p_value
2021-10-28,-0.0912091209120912,0.36678759265378924
2021-10-29,-0.10455445544554456,0.30055682907711545
2021-11-01,-0.09882988298829883,0.32794031681166125
2021-11-02,-0.08042004200420041,0.42639304294584945
2021-11-03,-0.2093369336933693,0.03659358214026931
2021-11-04,-0.23177917791779176,0.0203222730076578
2021-11-05,-0.0872127212721272,0.38824304801330456
2021-11-08,-0.13591359135913592,0.1775574365495937
2021-11-09,-0.037767776777677765,0.7091018755014256
2021-11-10,0.08829282928292828,0.3823713474650947
2021-11-11,-0.16639663966396637,0.09800509307321528
2021-11-12,-0.19804380438043803,0.048251266201749896
2021-11-15,-0.12712871287128713,0.20751610464995499
2021-11-16,-0.20069606960696068,0.04526875919870236
2021-11-17,-0.2612541254125412,0.008653222211636722
2021-11-18,-0.3133513351335134,0.0015011205139586997
2021-11-19,-0.2629342934293429,0.00821843333573175
2021-11-22,-0.28760876087608755,0.0037138362067652467
2021-11-23,-0.2667386738673867,0.007304375494738214
2021-11-24,-0.18137413741374134,0.07092644154185376
2021-11-26,-0.2073447344734473,0.03845880597463862
2021-11-29,-0.2756315631563156,0.005509249528456401
2021-11-30,-0.32505250525052504,0.0009677250912060499
2021-12-01,-0.3672367236723672,0.00017099973339119496
2021-12-02,-0.281020102010201,0.004623188134691284
2021-12-03,-0.10922292229222921,0.27936928158362107
2021-12-06,-0.1887068706870687,0.060070708816565586
2021-12-07,-0.29327332733273326,0.0030637702737534743
2021-12-08,-0.265010501050105,0.007707827444060597
2021-12-09,-0.23048304830483046,0.021054462415149574
2021-12-10,-0.26000600060005996,0.008989186970644105
2021-12-13,-0.1795259525952595,0.0738988603415008
2021-12-14,-0.17185718571857184,0.08731945784933151
2021-12-15,-0.24778877887788778,0.012932307594455699
2021-12-16,-0.2381038103810381,0.017055038995436977
2021-12-17,-0.21936993699369933,0.02831428435104179
2021-12-20,-0.19732373237323728,0.04908847817130334
2021-12-21,-0.21357335733573354,0.03287844269759324
2021-12-22,-0.1929192919291929,0.05447446989393043
2021-12-23,-0.20045604560456043,0.04553221514749813
2021-12-27,-0.17568556855685566,0.08039586992674014
2021-12-28,-0.17465346534653464,0.08221767832844781
2021-12-29,-0.18954695469546953,0.05891867916756538
2021-12-30,-0.2181338133813381,0.02923967089946426
2021-12-31,-0.21347734773477348,0.03295897532160937
2022-01-03,-0.07470747074707469,0.4600798855665379
2022-01-04,-0.09287728772877286,0.3580513650410435
2022-01-05,0.026918691869186915,0.7903541611727141
2022-01-06,0.058181818181818175,0.5652975860840226
2022-01-07,0.13639363936393636,0.17601693620895587
2022-01-10,0.1343054305430543,0.18279012105569403
2022-01-11,0.0819201920192019,0.4177875177140089
2022-01-12,0.028970897089708972,0.774781103873245
2022-01-13,0.11762376237623762,0.24381651818003172
2022-01-14,0.12750075007500747,0.20617837783177503
2022-01-18,0.20442844284428438,0.04133221028375167
2022-01-19,0.21449744974497448,0.03211176258748913
2022-01-20,0.2249384938493849,0.024447550528996626
2022-01-21,0.20466846684668463,0.041089144154440975
2022-01-24,0.19207920792079208,0.05555496206466413
2022-01-25,0.03198319831983198,0.7520846877687113
2022-01-26,0.005748574857485748,0.9547336128053947
2022-01-27,-0.05344134413441344,0.5974492675890675
2022-01-28,-0.03695169516951695,0.7151144641664728
2022-01-31,0.15000300030002997,0.13632603171004468
2022-02-01,0.09588958895889588,0.3426056921215259
2022-02-02,0.005544554455445544,0.9563385353919958
2022-02-03,-0.012481248124812478,0.9019106653692026
2022-02-04,0.00846084608460846,0.9334172380427018
2022-02-07,0.02643864386438644,0.7940091577345834
2022-02-08,0.005028502850285028,0.9603988089344946
2022-02-09,0.07621962196219621,0.45102285505574213
2022-02-10,0.1400300030003,0.16466510440825627
2022-02-11,0.1798259825982598,0.07340961998874393
